 .gitattributes                                     |   11 +
 .../TraitsNotHandledCorrrectBug00000100Test.php    |    6 +-
 ...rueFalseKeywordInNamespaceBug1412288686Test.php |   72 ++
 .../Bugs/UnexpectedTokenAsciiChar39Bug181Test.php  |   12 +-
 ...riableVariablesInForeachStatementBug128Test.php |   12 +-
 .../WrongCouplingAnalyzerForCommentsBug089Test.php |   12 +-
 src/test/php/PDepend/EngineTest.php                |   38 +-
 src/test/php/PDepend/Input/CompositeFilterTest.php |    6 +-
 src/test/php/PDepend/Input/DummyFilter.php         |    6 +-
 .../php/PDepend/Input/ExcludePathFilterTest.php    |    8 +-
 src/test/php/PDepend/Input/ExtensionFilterTest.php |    8 +-
 src/test/php/PDepend/Input/IteratorTest.php        |   14 +-
 .../PDepend/Integration/BuilderParserCacheTest.php |   12 +-
 .../Integration/DependExcludePathFilterTest.php    |   39 +-
 .../php/PDepend/Issues/AbstractFeatureTest.php     |   18 +-
 ...fIdeStyleDependenciesInCommentsIssue087Test.php |    6 +-
 ...eepTypeInformationForPrimitivesIssue084Test.php |    8 +-
 .../Issues/NamespaceSupportIssue002Test.php        |   50 +-
 .../PHPDependCatchesParsingErrorsIssue061Test.php  |   38 +-
 .../ParserSetsCorrectParametersIssue032Test.php    |    6 +-
 .../Issues/ReflectionCompatibilityIssue067Test.php |   31 +-
 .../StoreTokensForAllNodeTypesIssue079Test.php     |   52 +-
 .../php/PDepend/Metrics/AbstractMetricsTest.php    |    8 +-
 .../Analyzer/ClassDependencyAnalyzerTest.php       |  140 +++
 .../Metrics/Analyzer/ClassLevelAnalyzerTest.php    |    8 +-
 .../CodeRankAnalyzer/MethodStrategyTest.php        |    8 +-
 .../CodeRankAnalyzer/PropertyStrategyTest.php      |    8 +-
 .../CodeRankAnalyzer/StrategyFactoryTest.php       |    6 +-
 .../Metrics/Analyzer/CodeRankAnalyzerTest.php      |   10 +-
 .../Metrics/Analyzer/CouplingAnalyzerTest.php      |   12 +-
 .../Metrics/Analyzer/CrapIndexAnalyzerTest.php     |   12 +-
 .../Analyzer/CyclomaticComplexityAnalyzerTest.php  |   22 +-
 .../Metrics/Analyzer/DependencyAnalyzerTest.php    |    8 +-
 .../Metrics/Analyzer/HalsteadAnalyzerTest.php      |  313 ++++++
 .../Metrics/Analyzer/HierarchyAnalyzerTest.php     |   16 +-
 .../Metrics/Analyzer/InheritanceAnalyzerTest.php   |   14 +-
 .../Analyzer/MaintainabilityIndexAnalyzerTest.php  |  213 ++++
 .../Analyzer/NPathComplexityAnalyzerTest.php       |   34 +-
 .../Metrics/Analyzer/NodeCountAnalyzerTest.php     |   24 +-
 .../Metrics/Analyzer/NodeLocAnalyzerTest.php       |   50 +-
 .../php/PDepend/Metrics/AnalyzerIteratorTest.php   |    6 +-
 src/test/php/PDepend/ParserRegressionTest.php      |   12 +-
 src/test/php/PDepend/ParserTest.php                |  160 +--
 .../php/PDepend/Report/Dependencies/XmlTest.php    |  230 ++++
 .../_expected/xml-log-with-metrics.xml             |   15 +
 .../_expected/xml-log-without-metrics.xml          |   17 +
 src/test/php/PDepend/Report/Dummy/Logger.php       |    6 +-
 src/test/php/PDepend/Report/DummyAnalyzer.php      |   16 +-
 src/test/php/PDepend/Report/Jdepend/ChartTest.php  |   20 +-
 src/test/php/PDepend/Report/Jdepend/XmlTest.php    |   19 +-
 .../php/PDepend/Report/Overview/PyramidTest.php    |   20 +-
 .../PDepend/Report/ReportGeneratorFactoryTest.php  |    6 +-
 .../Summary/AnalyzerNodeAndProjectAwareDummy.php   |   16 +-
 .../Report/Summary/AnalyzerNodeAwareDummy.php      |   16 +-
 .../Report/Summary/AnalyzerProjectAwareDummy.php   |   16 +-
 src/test/php/PDepend/Report/Summary/XmlTest.php    |   42 +-
 .../node-and-project-aware-result-set.xml          |   16 +-
 .../node-aware-result-set-with-namespaces.xml      |   27 +
 .../node-aware-result-set-with-packages.xml        |   27 +
 .../Summary/_expected/node-aware-result-set.xml    |   27 -
